TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,FRUSTRATED,TIRED,ENGAGED,CLASS
1.28,0,106.6185,no,unknown,unknown,unknown,Unknown,-27.9756,4.4086,0.146,0.0018,0.0051,0.5546,0.031,0.0038,0.2156,0.1942,0.5796,0.0927,0.0001,3.8024,0.0011,0.0448,2.1229,0.015,0.0004,0.0001,0.1263,0.1161,0.0029,0.0299,0.0657,0,97.1204,0,7.0965,19.6314,0.0018,0.0006,0.2617,0.0018,0.0016,0.0016,0.0018,0.0018,0.0038,0,0.0025,2.2978,2.2978,0.0018,0.0284,0,0,0,0
1.32,0,106.1825,no,unknown,unknown,unknown,Unknown,-22.3078,3.231,0.413,0.0018,0.0063,0.5044,0.049,0.0029,0.2642,0.1941,-1.3724,0.0882,0.0001,10.6418,0.0007,0.0704,1.3577,0.0169,0.0004,0.0001,0.1946,0.0656,0.0046,0.0311,0.0565,0,97.7108,0,6.3745,34.9218,0.0017,0.0005,0.2172,0.0018,0.0016,0.0017,0.0018,0.0018,0.0029,0,0.0028,2.2978,2.2978,0.0018,0.0284,0,0,0,0
1.4,0,105.4138,no,unknown,unknown,unknown,Unknown,-26.9285,3.8736,1.2639,0.0018,0.0076,0.4702,0.0756,0.0022,0.3208,0.194,-4.5033,0.0857,0.0002,17.1395,0.0007,0.0759,0.7918,0.0187,0.0004,0.0002,0.3455,0.034,0.0073,0.0311,0.0506,0,97.405,0,2.6978,30.3328,0.0018,0.0004,0.2028,0.0018,0.0016,0.0017,0.0019,0.0018,0.0022,0,0.003,2.2978,2.2978,0.0018,0.0284,0,0,0,0
1.44,0,102.3019,no,unknown,unknown,unknown,Unknown,-27.2315,3.6725,0.8953,0.0018,0.0112,0.4525,0.1771,0.0013,0.47,0.1939,-8.9205,0.0842,0.0002,29.9208,0.0008,0.0757,0.4836,0.0196,0.0004,0.0002,0.4201,0.0132,0.0096,0.0303,0.0462,0,97.5047,0,0.8423,26.0473,0.0012,0.0003,0.1653,0.0018,0.0017,0.0017,0.0019,0.0018,0.0013,0,0.003,2.2978,2.2978,0.0018,0.0283,0,0,0,0
1.52,0,99.6748,no,unknown,unknown,unknown,Unknown,-20.8772,3.0909,-0.2342,0.0018,0.0154,0.4469,0.3609,0.0008,0.6486,0.1936,-12.2451,0.0845,0.0002,40.6603,0.0006,0.0402,0.3845,0.0183,0.0006,0.0003,0.5658,0.0078,0.0093,0.0207,0.0369,0,97.7726,0,0.4297,20.6763,0.0011,0.0003,0.1202,0.0018,0.0017,0.0017,0.0019,0.0018,0.0008,0,0.003,2.2977,2.2977,0.0018,0.0283,0,0,0,0
1.6,0,95.3924,no,unknown,unknown,unknown,Unknown,-19.8464,3.7966,0.8306,0.0018,0.0148,0.4576,0.3316,0.0009,0.6252,0.1932,-11.9496,0.088,0.0002,39.4005,0.0007,0.0182,0.5744,0.0159,0.0009,0.0007,0.9339,0.0049,0.0054,0.0106,0.0249,0,97.4436,0,0.4373,20.2059,0.0011,0.0002,0.0689,0.0018,0.0017,0.0017,0.0019,0.0018,0.0009,0,0.0031,2.2977,2.2977,0.0018,0.0283,0,0,0,0
1.68,0,96.8357,no,unknown,unknown,unknown,Unknown,-22.3899,4.0753,1.7285,0.0018,0.0115,0.4478,0.1887,0.0012,0.4859,0.193,-9.4161,0.0887,0.0001,30.9324,0.0009,0.0082,0.4006,0.0145,0.0014,0.0013,1.2195,0.0032,0.0061,0.0079,0.0165,99.9541,97.3011,0,0.1943,6.6602,0.001,0.0002,0.0565,0.0018,0.0017,0.0017,0.0019,0.0018,0.0012,0,0.0031,2.2977,2.2977,0.0018,0.0283,0,0,0,0
1.72,0,99.3806,no,unknown,unknown,unknown,Unknown,-23.138,0.8072,0.3244,0.0018,0.0087,0.4381,0.1021,0.0018,0.369,0.193,-6.6133,0.0932,0,21.7121,0.0016,0.0035,0.2242,0.0119,0.0019,0.0014,2.0911,0.0019,0.0029,0.0063,0.0149,99.9704,98.5777,0,0.0563,1.7521,0.0005,0.0001,0.0527,0.0018,0.0017,0.0017,0.0019,0.0018,0.0018,0,0.0031,2.2977,2.2977,0.0018,0.0283,0,0,0,0
1.8,0,98.244,no,unknown,unknown,unknown,Unknown,-24.8858,1.9839,0.1156,0.0018,0.0062,0.4338,0.0478,0.0029,0.2624,0.193,-3.1678,0.1008,0,10.3096,0.0048,0.0019,0.1465,0.011,0.0021,0.0018,3.2743,0.0019,0.0028,0.005,0.0154,99.948,98.2071,0.0001,0.0197,0.4953,0.0006,0.0001,0.0473,0.0018,0.0017,0.0017,0.0019,0.0018,0.0029,0,0.0031,2.2977,2.2977,0.0018,0.0282,0,0,0,0
1.84,0,94.9086,no,unknown,unknown,unknown,Unknown,-27.6163,2.52,0.2841,0.0018,0.0053,0.4302,0.0332,0.0037,0.2228,0.1929,-1.4926,0.1086,0,4.8377,0.0079,0.0009,0.0795,0.0094,0.002,0.0031,4.3847,0.003,0.0035,0.0037,0.012,99.8461,98.0082,0.0005,0.0192,0.1731,0.0012,0.0001,0.0355,0.0018,0.0017,0.0017,0.0019,0.0018,0.0037,0,0.0031,2.2977,2.2977,0.0018,0.0282,0,0,0,0
